SECTOR,COMPANY,CAGR 5YR,PE RATIO,MARKET CAP,MAX ALLC,SECTOR ALLC
,,,,,,
FINANCE,BAJAJ FINANCE,40,52,LARGE,10,15%
FINANCE,AAVAS FINANCIERS,24(3YR),55,MID,5,15%
FINANCE,HOME FIRST FINANCE,NA,40,MID,3,15%
CONSISTENT/MISC.,RELAXO,37,90,MID,8,35%
CONSISTENT/MISC.,PIDILITE,27,91,LARGE,8,35%
CONSISTENT/MISC.,ASTRAL,42,70,LARGE,8,35%
CONSISTENT/MISC.,DMART,45,150,LARGE,10,35%
CONSISTENT/MISC.,TITAN,40,85,LARGE,6,35%
CONSISTENT/MISC.,POLYCAB,57(3YR),33,LARGE,8,35%
PAINTS,SIRCA PAINTS,25(3YR),41,SMALL,3,35%
,,,,,,
TECH,MIRAE ASSET FANG+,,,ETF,,15%
TECH,HAPPIEST MINDS,NA,80,MID,5,15%
TECH,LTI,NA,32,LARGE,6,15%
TECH,INFOBEANS,46,27,SMALL,3,15%
,,,,,,
,,,,,,
FOOD/FMCG,JUBILANT FOOD,50,100,LARGE,5,12%
FOOD/FMCG,VARUN BEVERAGES,39,54,LARGE,5,12%
FOOD/FMCG,HINDUSTAN FOODS,70,88,SMALL,3,12%
FOOD/FMCG,AWL,NA,0,SMALL,2,12%
,,,,,,
,,,,,,
,,,,,,
CHEMICAL,VINATI ORGANIC,80,60,MID,3,15%
CHEMICAL,NEOGEN CHEMICAL,67(3YR),56,SMALL,4,15%
CHEMICAL,ROSSARI BIOTECH,NA,70,SMALL,3,15%
CHEMICAL,CLEANSCIENCE,NA,90,MID,5,15%
CHEMICAL,AETHER,NA,50,SMALL,3,15%
CHEMICAL,FINE ORGANICS,,40,MID,5,15%
,,,,,,
,,,,,,
PIPE,PRINCE PIPE,NEW LISTED,28,MID,4,10-15%
EV,SONA BLW,NEW LISTED,140,LARGE,2,10-15%
PLYWOOD,GREENPANEL,NEW LISTED,25,MID,3,10-15%
AMC,ANGELONE/CAMS,NEW LISTED,17/40,MID,2,10-15%
ADHESIVE,HP ADHESIVE,NEW LISTED,60,SMALL,2,10-15%
TECH,AFFLE,NEW LISTED,70,MID,2,10-15%
TECH,ROUTE MOBILE,NEW LISTED,70,MID,2,10-15%
FOOTWEAR,CAMPUS,NEW LISTED,400,MID,2,10-15%
PAINT,INDIGO PAINTS,NEW LISTED,90,MID,4,10-15%
PHARMA API,SUPRIYA LIFESCIENCE,NEW LISTED,22,SMALL,2,10-15%
PHARMA API,SIGACHI,NEW LISTED,21,SMALL,2,10-15%
STEEL PIPES,HARIOM PIPES,NEW LISTED,,,,10-15%
RETAIL,MANYAVAR,NEW LISTED,93,MID,,10-15%
WIRING BEADS,RAJRATAN GLOBAL,NEW LISTED,,,,10-15%
WIRING BEADS,HARSHA ENGG,NEW LISTED,,,,10-15%
ENERGY,KPI GREEN,NEW LISTED,,,,10-15%
